STATE,CONSTITUENCY, Assets ,WINNER,PARTY,GENDER,"CRIMINAL
CASES",AGE,EDUCATION,"GENERAL
VOTES","POSTAL
VOTES","TOTAL
VOTES",VoteAcc,VoteShare,Total Voters
Andhra Pradesh,BAPATLA,4158610,1,YSRCP,MALE,0,42,8th Pass,592250,6007,598257,40.73458249,47.10692458,1468671
Uttar Pradesh,BARABANKI,18050127,1,BJP,MALE,1,51,Post Graduate,535594,323,535917,29.49736629,46.37131525,1816830
Maharashtra,BARAMATI,1408888704,1,NCP,FEMALE,0,49,Graduate,683705,3009,686714,32.47392138,52.52845903,2114663
Jammu & Kashmir,BARAMULLA,597434000,1,JKNC,MALE,0,71,Graduate Professional,132969,457,133426,10.12538153,29.26015189,1317738
West Bengal,BARASAT,40531018,1,AITC,FEMALE,2,60,Post Graduate,647819,625,648444,37.73858549,46.44368906,1718252
West Bengal,BARDHAMAN DURGAPUR,26521750,1,BJP,MALE,0,67,Graduate Professional,597450,926,598376,34.51682013,41.75136706,1733578
West Bengal,BARDHAMAN PURBA,20371283,1,AITC,MALE,0,61,Graduate Professional,640490,344,640834,37.73854021,44.51463355,1698089
Gujarat,BARDOLI,28350217,1,BJP,MALE,0,49,Others,740448,1825,742273,40.63851267,54.99764753,1826526
Uttar Pradesh,BAREILLY,126356142,1,BJP,MALE,0,70,Graduate Professional,563533,1737,565270,31.44485455,52.88056758,1797655
Odisha,BARGARH,11673429,1,BJP,MALE,0,59,Post Graduate,577074,4171,581245,36.41224339,46.4595333,1596290
Rajasthan,BARMER,2402250,1,BJP,MALE,2,45,Graduate,844104,2422,846526,43.60769017,59.49405253,1941231
Assam,BARPETA,7398753,1,INC,MALE,0,44,Post Graduate,643441,1732,645173,38.2858133,44.22603934,1685149
West Bengal,BARRACKPORE,8055691,1,BJP,MALE,24,57,10th Pass,471490,1504,472994,32.92841772,42.81655003,1436431
West Bengal,BASIRHAT,29088391,1,AITC,FEMALE,0,28,12th Pass,781920,158,782078,46.59783348,54.54700164,1678357
Chhattisgarh,BASTAR,7721293,1,INC,MALE,1,38,Post Graduate,401539,988,402527,29.18719301,44.05167215,1379122
Uttar Pradesh,BASTI,8662344,1,BJP,MALE,5,45,Post Graduate,469214,1948,471162,25.53414953,44.65139817,1845223
Punjab,BATHINDA,2179919870,1,SAD,FEMALE,0,52,10th Pass,490811,2013,492824,30.38988796,40.98011547,1621671
Maharashtra,BEED,167477926,1,BJP,FEMALE,1,36,Post Graduate,675841,2334,678175,33.15602533,50.1074298,2045405
Bihar,BEGUSARAI,83024577,1,BJP,MALE,6,66,Graduate,687577,4616,692193,35.34514717,56.43630713,1958382
Karnataka,BELGAUM,366164525,1,BJP,MALE,0,63,Graduate Professional,756986,5005,761991,42.82412117,63.12355961,1779350
Karnataka,BELLARY,40107878,1,BJP,MALE,0,67,5th Pass,614274,2114,616388,35.18730584,50.4415357,1751734
Odisha,BERHAMPUR,11716989,1,BJD,MALE,0,68,10th Pass,443145,698,443843,29.54118426,44.82868677,1502455
Madhya Pradesh,BETUL,15413532,1,BJP,MALE,0,55,Post Graduate,810237,1011,811248,46.69222539,59.72366189,1737437
Uttar Pradesh,BHADOHI,94089148,1,BJP,MALE,6,44,10th Pass,508989,1040,510029,26.25612994,49.04771109,1942514
Odisha,BHADRAK,39417891,1,BJD,FEMALE,0,42,Graduate,511772,1273,513045,30.87543127,41.77734385,1661661
Bihar,BHAGALPUR,6801126,1,JD(U),MALE,0,41,8th Pass,616724,1530,618254,33.89884967,59.26616832,1823820
Maharashtra,BHANDARA - GONDIYA,627543615,1,BJP,MALE,2,50,Others,646152,4091,650243,35.89417054,52.16370394,1811556
Rajasthan,BHARATPUR,3117190,1,BJP,FEMALE,0,39,8th Pass,701293,6699,707992,36.42320122,61.61965794,1943794
Gujarat,BHARUCH,6835957,1,BJP,MALE,0,61,Post Graduate,635374,2421,637795,40.76620354,55.42871992,1564519
Gujarat,BHAVNAGAR,17753161,1,BJP,FEMALE,0,55,Graduate Professional,655272,6001,661273,37.39603698,63.32564674,1768297
Rajasthan,BHILWARA,232703276,1,BJP,MALE,0,62,Graduate,936065,2095,938160,46.97075293,71.5600403,1997328
Madhya Pradesh,BHIND,51108660,1,BJP,FEMALE,0,45,Post Graduate,522990,4704,527694,29.89202043,54.81299281,1765334
Maharashtra,BHIWANDI,418850781,1,BJP,MALE,0,58,Graduate,522032,1551,523583,27.70133855,52.06646745,1890100
Haryana,BHIWANI-MAHENDRAGARH,60642205,1,BJP,MALE,0,64,Graduate,725725,10974,736699,44.53191257,63.18682638,1654317
Telangana,BHONGIR,162543845,1,INC,MALE,14,55,12th Pass,532031,764,532795,32.72630223,43.93181929,1628033
Madhya Pradesh,BHOPAL,444224,1,BJP,FEMALE,1,49,Post Graduate,865212,1270,866482,40.43575388,61.51068846,2142861
Odisha,BHUBANESWAR,31677600,1,BJP,FEMALE,0,49,Graduate,485793,1198,486991,28.65195643,48.42674797,1699678
Karnataka,BIDAR,51836416,1,BJP,MALE,1,50,Graduate Professional,583833,1638,585471,32.98251643,52.35576859,1775095
Karnataka,BIJAPUR,504122985,1,BJP,MALE,0,66,Graduate,633868,1999,635867,35.3733644,57.15694391,1797587
Uttar Pradesh,BIJNOR,2499628021,1,BSP,MALE,7,53,Graduate,559824,1221,561045,33.71411402,50.91309532,1664125
Rajasthan,BIKANER,23524459,1,BJP,MALE,0,65,Post Graduate,655427,2316,657743,35.52241595,59.76765107,1851628
Chhattisgarh,BILASPUR,13544588,1,BJP,MALE,0,51,Graduate Professional,633268,1291,634559,33.80793232,52.43158294,1876953
West Bengal,BIRBHUM,48652722,1,AITC,FEMALE,0,49,Graduate,653426,651,654077,38.49280169,45.10539905,1699219
West Bengal,BISHNUPUR,8656777,1,BJP,MALE,6,38,12th Pass,654904,2115,657019,40.37729866,46.23016892,1627199
Odisha,BOLANGIR,379590851,1,BJP,FEMALE,0,57,Graduate,496237,1849,498086,28.55267518,38.11657065,1744446
West Bengal,BOLPUR,1310691,1,AITC,MALE,0,63,10th Pass,698441,730,699171,41.00534112,47.82523638,1705073
Uttar Pradesh,BULANDSHAHR,18728861,1,BJP,MALE,1,42,Graduate,677196,4125,681321,38.10679978,60.56186667,1787925
Maharashtra,BULDHANA,116272966,1,SHS,MALE,3,58,12th Pass,520537,1440,521977,29.60869422,46.5572434,1762918
Bihar,BUXAR,40183612,1,BJP,MALE,3,66,Graduate,468690,4363,473053,25.85875051,47.93021413,1829373
Kerala,CHALAKUDY,20461931,1,INC,MALE,4,66,Graduate,472935,509,473444,38.48521822,47.80171905,1230197
Karnataka,CHAMARAJANAGAR,143804441,1,BJP,MALE,0,71,Post Graduate,567010,1527,568537,33.71439686,44.7411517,1686333
Uttar Pradesh,CHANDAULI,33359734,1,BJP,MALE,0,62,Doctorate,508113,2620,510733,29.07116596,47.02046506,1756837
Chandigarh,CHANDIGARH,474983574,1,BJP,FEMALE,0,66,Post Graduate,230967,221,231188,35.74727591,50.62839849,646729
NCT OF Delhi,CHANDNI CHOWK,30171897,1,BJP,MALE,0,64,Post Graduate,517939,1116,519055,33.22413417,52.92083922,1562283
Maharashtra,CHANDRAPUR,137455342,1,INC,MALE,5,43,12th Pass,557550,1957,559507,29.29067715,45.14024362,1910188
Jharkhand,CHATRA,226209137,1,BJP,MALE,0,55,Post Graduate,526205,1872,528077,37.05236673,57.03046365,1425218
Tamil Nadu,CHENNAI CENTRAL,116790616,1,DMK,MALE,1,52,Graduate,447150,1761,448911,33.69443819,57.13102142,1332300
Tamil Nadu,CHENNAI NORTH,405294714,1,DMK,MALE,0,49,Post Graduate,589034,1952,590986,39.72531746,61.82308137,1487681
Tamil Nadu,CHENNAI SOUTH,91793460,1,DMK,FEMALE,0,56,Doctorate,563240,1632,564872,28.62237419,50.15106438,1973533
Telangana,CHEVELLA,1634695131,1,TRS,MALE,0,54,Post Graduate,527878,270,528148,21.61783823,40.5956043,2443112
Madhya Pradesh,CHHINDWARA,6601946757,1,INC,MALE,0,44,Graduate,586551,754,587305,38.77156002,47.04167795,1514783
Gujarat,CHHOTA UDAIPUR,8634660,1,BJP,FEMALE,0,47,12th Pass,761472,2973,764445,45.74083038,61.89562408,1671253
Tamil Nadu,CHIDAMBARAM,9244092,1,VCK,MALE,3,56,Doctorate,498401,1828,500229,33.79418763,43.33774887,1480222
Karnataka,CHIKKBALLAPUR,1153501141,1,BJP,MALE,0,76,Graduate Professional,744475,1437,745912,41.23840379,53.74056097,1808780
Karnataka,CHIKKODI,344922831,1,BJP,MALE,0,55,12th Pass,641232,3785,645017,39.99966513,52.89266025,1612556
Karnataka,CHITRADURGA,96197642,1,BJP,MALE,0,62,Graduate,624200,1995,626195,35.56646956,50.23601972,1760633
Andhra Pradesh,CHITTOOR,17355862,1,YSRCP,MALE,0,68,Post Graduate,681325,5467,686792,43.84247931,52.04408795,1566499
Rajasthan,CHITTORGARH,19725115,1,BJP,MALE,0,43,Graduate,979946,2996,982942,48.75919621,67.35865839,2015911
Rajasthan,CHURU,36723865,1,BJP,MALE,0,42,Graduate,786573,6426,792999,39.27479714,59.59387437,2019104
Tamil Nadu,COIMBATORE,20284430,1,CPI(M),MALE,1,68,12th Pass,567741,3409,571150,29.15661002,45.65806692,1958904
West Bengal,COOCH BEHAR,9629810,1,BJP,MALE,11,33,8th Pass,728634,2960,731594,40.3259839,47.9593509,1814200
Tamil Nadu,CUDDALORE,423378552,1,DMK,MALE,0,48,Graduate Professional,519594,2566,522160,38.28045846,50.04504591,1364038
Odisha,CUTTACK,106894976,1,BJD,MALE,0,62,Post Graduate,524117,475,524592,34.53544315,49.46839057,1518996
Dadra & Nagar Haveli,DADRA AND NAGAR HAVELI,708885980,1,IND,MALE,0,56,Graduate,90399,22,90421,36.16420495,45.44134202,250029
Gujarat,DAHOD,27070480,1,BJP,MALE,0,52,Graduate Professional,558977,2783,561760,35.13329777,52.77759771,1598939
Karnataka,DAKSHINA KANNADA,14678300,1,BJP,MALE,4,52,10th Pass,772754,1531,774285,44.88671147,57.5528098,1724976
Daman & Diu,DAMAN & DIU,213993750,1,BJP,MALE,0,63,8th Pass,37586,11,37597,30.88302941,42.98126279,121740
Madhya Pradesh,DAMOH,43292483,1,BJP,MALE,0,59,Graduate Professional,704221,303,704524,39.83113756,60.50506482,1768777
Bihar,DARBHANGA,19301808,1,BJP,MALE,0,49,Post Graduate,585013,1655,586668,35.45226615,60.76249858,1654811
West Bengal,DARJEELING,151106062,1,BJP,MALE,0,33,Graduate,744657,5410,750067,46.549934,59.07593021,1611317
Rajasthan,DAUSA,143742564,1,BJP,FEMALE,0,71,Post Graduate,545481,3252,548733,31.71337274,51.56886995,1730289
Karnataka,DAVANAGERE,380164932,1,BJP,MALE,0,67,10th Pass,651353,1643,652996,39.98594054,54.63373005,1633064
