State,Constituency,Assets,Party,Gender,Criminal Cases,Age,Education Level,General Votes,Postal Votes,Total Votes,Vote Share,Voters in Constituency,Region
West Bengal,BIRBHUM,48652722,AITC,FEMALE,0,49,Graduate,653426,651,654077,45.10539905,1699219,EAST
West Bengal,BISHNUPUR,8656777,BJP,MALE,6,38,High School,654904,2115,657019,46.23016892,1627199,EAST
Odisha,BOLANGIR,379590851,BJP,FEMALE,0,57,Graduate,496237,1849,498086,38.11657065,1744446,EAST
West Bengal,BOLPUR,1310691,AITC,MALE,0,63,High School,698441,730,699171,47.82523638,1705073,EAST
Uttar Pradesh,BULANDSHAHR,18728861,BJP,MALE,1,42,Graduate,677196,4125,681321,60.56186667,1787925,NORTH
Maharashtra,BULDHANA,116272966,SHS,MALE,3,58,High School,520537,1440,521977,46.557243400000004,1762918,WEST
Bihar,BUXAR,40183612,BJP,MALE,3,66,Graduate,468690,4363,473053,47.93021413,1829373,EAST
Kerala,CHALAKUDY,20461931,INC,MALE,4,66,Graduate,472935,509,473444,47.80171905,1230197,SOUTH
Karnataka,CHAMARAJANAGAR,143804441,BJP,MALE,0,71,Post Graduate,567010,1527,568537,44.7411517,1686333,SOUTH
Uttar Pradesh,CHANDAULI,33359734,BJP,MALE,0,62,Doctorate,508113,2620,510733,47.02046506,1756837,NORTH
Chandigarh,CHANDIGARH,474983574,BJP,FEMALE,0,66,Post Graduate,230967,221,231188,50.62839849,646729,NORTH
NCT OF Delhi,CHANDNI CHOWK,30171897,BJP,MALE,0,64,Post Graduate,517939,1116,519055,52.92083922,1562283,NORTH
Maharashtra,CHANDRAPUR,137455342,INC,MALE,5,43,High School,557550,1957,559507,45.14024362,1910188,WEST
Jharkhand,CHATRA,226209137,BJP,MALE,0,55,Post Graduate,526205,1872,528077,57.03046365,1425218,EAST
Tamil Nadu,CHENNAI CENTRAL,116790616,DMK,MALE,1,52,Graduate,447150,1761,448911,57.13102142,1332300,SOUTH
Tamil Nadu,CHENNAI NORTH,405294714,DMK,MALE,0,49,Post Graduate,589034,1952,590986,61.82308137,1487681,SOUTH
Tamil Nadu,CHENNAI SOUTH,91793460,DMK,FEMALE,0,56,Doctorate,563240,1632,564872,50.15106438,1973533,SOUTH
Telangana,CHEVELLA,1634695131,TRS,MALE,0,54,Post Graduate,527878,270,528148,40.5956043,2443112,SOUTH
Madhya Pradesh,CHHINDWARA,6601946757,INC,MALE,0,44,Graduate,586551,754,587305,47.04167795,1514783,WEST
Gujarat,CHHOTA UDAIPUR,8634660,BJP,FEMALE,0,47,High School,761472,2973,764445,61.89562408,1671253,WEST
Tamil Nadu,CHIDAMBARAM,9244092,VCK,MALE,3,56,Doctorate,498401,1828,500229,43.33774887,1480222,SOUTH
Karnataka,CHIKKBALLAPUR,1153501141,BJP,MALE,0,76,Graduate Professional,744475,1437,745912,53.74056097,1808780,SOUTH
Karnataka,CHIKKODI,344922831,BJP,MALE,0,55,High School,641232,3785,645017,52.89266025,1612556,SOUTH
Karnataka,CHITRADURGA,96197642,BJP,MALE,0,62,Graduate,624200,1995,626195,50.23601972,1760633,SOUTH
Andhra Pradesh,CHITTOOR,17355862,YSRCP,MALE,0,68,Post Graduate,681325,5467,686792,52.04408795,1566499,SOUTH
Rajasthan,CHITTORGARH,19725115,BJP,MALE,0,43,Graduate,979946,2996,982942,67.35865839,2015911,WEST
Rajasthan,CHURU,36723865,BJP,MALE,0,42,Graduate,786573,6426,792999,59.59387437,2019104,WEST
Tamil Nadu,COIMBATORE,20284430,CPI(M),MALE,1,68,High School,567741,3409,571150,45.65806692,1958904,SOUTH
West Bengal,COOCH BEHAR,9629810,BJP,MALE,11,33,Middle School,728634,2960,731594,47.9593509,1814200,EAST
Tamil Nadu,CUDDALORE,423378552,DMK,MALE,0,48,Graduate Professional,519594,2566,522160,50.04504591,1364038,SOUTH
Odisha,CUTTACK,106894976,BJD,MALE,0,62,Post Graduate,524117,475,524592,49.46839057,1518996,EAST
Dadra & Nagar Haveli,DADRA AND NAGAR HAVELI,708885980,IND,MALE,0,56,Graduate,90399,22,90421,45.44134202,250029,OTHERS
Gujarat,DAHOD,27070480,BJP,MALE,0,52,Graduate Professional,558977,2783,561760,52.77759771,1598939,WEST
Karnataka,DAKSHINA KANNADA,14678300,BJP,MALE,4,52,High School,772754,1531,774285,57.5528098,1724976,SOUTH
Daman & Diu,DAMAN & DIU,213993750,BJP,MALE,0,63,Middle School,37586,11,37597,42.98126279,121740,OTHERS
Madhya Pradesh,DAMOH,43292483,BJP,MALE,0,59,Graduate Professional,704221,303,704524,60.50506482,1768777,WEST
Bihar,DARBHANGA,19301808,BJP,MALE,0,49,Post Graduate,585013,1655,586668,60.76249858,1654811,EAST
West Bengal,DARJEELING,151106062,BJP,MALE,0,33,Graduate,744657,5410,750067,59.07593021,1611317,EAST
Rajasthan,DAUSA,143742564,BJP,FEMALE,0,71,Post Graduate,545481,3252,548733,51.56886995,1730289,WEST
Karnataka,DAVANAGERE,380164932,BJP,MALE,0,67,High School,651353,1643,652996,54.63373005,1633064,SOUTH
Uttar Pradesh,DEORIA,29451678,BJP,MALE,1,69,Graduate Professional,577617,3027,580644,57.17273404,1754195,NORTH
Madhya Pradesh,DEWAS,3812464,BJP,MALE,0,35,Graduate Professional,860708,1721,862429,61.61545078,1760503,WEST
Jharkhand,DHANBAD,27286918,BJP,MALE,0,69,Graduate,824704,2530,827234,66.00631151,2072634,EAST
Madhya Pradesh,DHAR,23198238,BJP,MALE,1,65,Post Graduate,721025,1122,722147,53.72422023,1786151,WEST
Tamil Nadu,DHARMAPURI,48477451,DMK,MALE,1,41,Post Graduate,568310,6678,574988,46.95830424,1485804,SOUTH
Karnataka,DHARWAD,111384447,BJP,MALE,1,56,Graduate,682557,2280,684837,56.4052027,1727311,SOUTH
Uttar Pradesh,DHAURAHRA,24735488,BJP,FEMALE,3,45,High School,512582,323,512905,48.20748661,1644674,NORTH
Odisha,DHENKANAL,14529286,BJD,MALE,1,58,High School,521954,930,522884,46.14172269,1504403,EAST
Assam,DHUBRI,788064044,AIUDF,MALE,7,63,Post Graduate,718131,633,718764,42.65514896,1858566,NORTH EAST
Maharashtra,DHULE,158651112,BJP,MALE,2,66,Post Graduate,610268,3265,613533,56.36095898,1908173,WEST
West Bengal,DIAMOND HARBOUR,13794320,AITC,MALE,0,31,Graduate,790725,402,791127,56.13325926,1719190,EAST
Assam,DIBRUGARH,4370067,BJP,MALE,0,48,High School,657983,1600,659583,64.9200978,1314319,NORTH EAST
Tamil Nadu,DINDIGUL,148076407,DMK,MALE,0,52,Illiterate,743813,2710,746523,64.30382167,1541881,SOUTH
Maharashtra,DINDORI,122885349,BJP,FEMALE,0,40,Graduate Professional,565452,2018,567470,49.83481192,1732936,WEST
Uttar Pradesh,DOMARIYAGANJ,103366710,BJP,MALE,3,68,Post Graduate,492145,108,492253,49.958186600000005,1885433,NORTH
West Bengal,DUM DUM,42518790,AITC,MALE,1,71,Post Graduate,511707,355,512062,42.50553045,1566196,EAST
Jharkhand,DUMKA,4737559,BJP,MALE,0,39,High School,483748,1175,484923,47.26432556,1397253,EAST
Chhattisgarh,DURG,34429027,BJP,MALE,0,59,Graduate,847445,1929,849374,60.98674607,1940269,EAST
NCT OF Delhi,EAST DELHI,1471587789,BJP,MALE,1,37,High School,695109,1047,696156,55.32973824,2039302,NORTH
Andhra Pradesh,ELURU,462808829,YSRCP,MALE,0,46,Graduate,672834,3975,676809,50.80347693,1594950,SOUTH
Kerala,ERNAKULAM,7908467,INC,MALE,7,35,Graduate,490854,409,491263,50.78231117,1245972,SOUTH
Tamil Nadu,ERODE,43110000,DMK,MALE,0,72,Graduate,558929,4662,563591,52.72118039,1462246,SOUTH
Uttar Pradesh,ETAH,383629735,BJP,MALE,0,58,Graduate Professional,544267,1081,545348,54.51561051,1621295,NORTH
Uttar Pradesh,FAIZABAD,31884642,BJP,MALE,1,64,Post Graduate,528113,908,529021,48.64918799,1821785,NORTH
Haryana,FARIDABAD,369652786,BJP,MALE,0,62,Graduate Professional,910787,2435,913222,68.76014116,2071816,NORTH
Punjab,FARIDKOT,19793884,INC,MALE,0,78,Middle School,417936,1129,419065,42.97036018,1541971,NORTH
